"continent";"location";"date";"population";"new_vaccinations";"RollingPeopleVaccinated"
"Asia";"Afghanistan";"2020-02-24";39835428;"";0.0
"Asia";"Afghanistan";"2020-02-25";39835428;"";0.0
"Asia";"Afghanistan";"2020-02-26";39835428;"";0.0
"Asia";"Afghanistan";"2020-02-27";39835428;"";0.0
"Asia";"Afghanistan";"2020-02-28";39835428;"";0.0
"Asia";"Afghanistan";"2020-02-29";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-01";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-02";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-03";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-04";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-05";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-06";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-07";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-08";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-09";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-10";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-11";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-12";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-13";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-14";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-15";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-16";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-17";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-18";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-19";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-20";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-21";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-22";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-23";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-24";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-25";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-26";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-27";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-28";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-29";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-30";39835428;"";0.0
"Asia";"Afghanistan";"2020-03-31";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-01";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-02";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-03";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-04";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-05";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-06";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-07";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-08";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-09";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-10";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-11";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-12";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-13";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-14";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-15";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-16";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-17";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-18";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-19";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-20";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-21";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-22";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-23";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-24";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-25";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-26";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-27";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-28";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-29";39835428;"";0.0
"Asia";"Afghanistan";"2020-04-30";39835428;"";0.0
"Asia";"Afghanistan";"2020-05-01";39835428;"";0.0
